Date,sp500_ret,sp500_vol,sp500_volume,ticker_ret,ticker_vol,num_news,sentiment
2024-10-18,,0.0,3441820000.0,0.0,0.0,0.0,0.0
2024-10-25,-0.9642453103212434,0.4406624564949252,3465210000.0,-1.8958140530644485,3.8648201355691745,922.0,0.2947
2024-11-01,-1.3656796157722972,0.602771974417529,3928722000.0,-0.9642640447744766,0.7794802534311065,49.0,-0.0527
2024-11-08,4.656127696358747,1.154313093092976,4658476000.0,5.946600325258045,1.0864799668940084,28.0,0.0194
2024-11-15,-2.083547454626511,0.6788244393476354,4314422000.0,-1.647875226826756,1.0409361871770817,12.0,0.0379
2024-11-22,1.6815894163118683,0.6174193174198791,4032992000.0,3.8399595019273924,1.1418642638067642,129.0,-0.0576
2024-11-22,1.6815894163118683,0.6174193174198791,4032992000.0,3.8399595019273924,1.1418642638067642,28.0,0.0
2024-11-29,1.0560638313883874,0.2990742658448695,3819020000.0,-1.0714211709900168,1.4118708418019306,10.0,0.0394
2024-12-06,0.9596566834872311,0.3638168013665929,4129542000.0,1.551655561721632,0.8543829849739373,0.0,0.0
2024-12-13,-0.6433241162641545,0.53499531306846,4027558000.0,-1.9676162466343405,1.2467082762447255,66.0,0.1564
2024-12-20,-1.9870758689518042,1.0549518212418199,5460532000.0,-2.807743788543582,1.2845705419348692,12.0,0.0012
2024-12-27,0.6742666807504127,1.2043046360580845,2853785000.0,1.9926419832916986,1.3583744399835849,44.0,0.1248
2025-01-03,-0.4751363233422845,0.8424728045736485,3462655000.0,0.07664768560962099,1.2173270848408404,29.0,-0.0145
2025-01-10,-1.9424611585417084,0.9672372219916173,4662780000.0,2.2754008436076223,1.6532728500266,28.0,-0.0
2025-01-10,-1.9424611585417084,0.9672372219916173,4662780000.0,2.2754008436076223,1.6532728500266,74.0,0.0241
2025-01-17,2.9109138782370536,0.9914290866630591,4352138000.0,8.250688871080891,2.8175661646415504,0.0,0.0
2025-01-24,1.7439720677851378,0.6280409888045233,4418115000.0,-1.4494510399478355,2.3098837648733697,143.0,0.0862
2025-01-31,-0.995050954996024,0.941497640119548,4653218000.0,-2.0837228258739793,1.8803802608392122,406.0,0.0964
2025-01-31,-0.995050954996024,0.941497640119548,4653218000.0,-2.0837228258739793,1.8803802608392122,17.0,0.0003
2025-02-07,-0.2406999269663257,0.6925979400266934,4715528000.0,1.9409623506966511,1.2075726600934413,0.0,0.0
2025-02-14,1.4709557266100237,0.6520999190243593,4502118000.0,2.1561644902646115,1.3088358683218282,0.0,0.0
2025-02-21,-1.6599532914543969,0.586621320574211,4873890000.0,-0.6313508257399403,0.8467063335622762,3.0,0.115
2025-02-28,-0.9750310396601236,0.8104327752657037,5346642000.0,-3.1497582428508086,1.8069798362609404,17.0,0.3666
2025-03-07,-3.095134850743131,1.4694075835606872,5581630000.0,-9.576901737821986,2.3595421857926953,22.0,-0.2341
2025-03-14,-2.274795491721082,1.5609860584129316,5546520000.0,-6.52568338033902,3.8484200233585355,12.0,-0.0511
2025-03-14,-2.274795491721082,1.5609860584129316,5546520000.0,-6.52568338033902,3.8484200233585355,33.0,-0.0828
2025-03-21,0.5075442811040665,1.2625607211571732,5680802000.0,1.6617099645775957,1.8892700307585581,0.0,0.0
2025-03-28,-1.5283493477260546,1.0877820704117598,4417052000.0,-0.13198113857604277,2.0014400973099926,129.0,0.1244
2025-04-04,-9.081980250687572,1.766974246197203,5999910000.0,-8.18559085584546,2.4521645499628297,23.0,0.0925
2025-04-11,5.701127705953479,4.624484982703736,7573882000.0,9.305111116682664,6.887321890204582,139.0,0.0934
2025-04-18,-1.5039018455756392,3.357925781945172,4667795000.0,-2.2001652623284462,4.7602125753610585,88.0,0.2194
2025-04-25,4.590640328977713,1.9151220375566702,4639794000.0,6.597762204376356,2.142237360885518,60.0,0.2247
2025-05-02,2.922241183212959,0.6901091565963015,4848834000.0,2.881897293134439,1.311081734543833,2100.0,0.0897
2025-05-09,-0.4705700522912859,0.8344940879288977,4867090000.0,1.3392065060513492,0.9068818472175606,170.0,0.2692
2025-05-16,5.2734004307985805,1.3613321551086603,5321292000.0,5.049293643588637,2.0727649113488877,308.0,0.027
2025-05-23,-2.6107777894873285,0.6314423579421812,4726996000.0,-4.268984847556134,0.7361087349251954,31.0,-0.2223
2025-05-30,1.8761588414845765,1.2271036988441724,5244930000.0,2.372400442859557,1.2520765028586711,10.0,0.2299
2025-06-06,1.4999081946761805,0.5427522494596496,4814706000.0,0.8581652612359658,0.6621117076861418,29.0,0.1201
2025-06-13,-0.3898040945949144,0.592331976544244,4913040000.0,-8.059887814432443,2.520914103594491,15.0,0.1641
